gene_id	gene_symbol
ENSG00000256463	SALL3
ENSG00000119772	DNMT3A
ENSG00000155903	RASA2
ENSG00000087088	BAX
ENSG00000263002	ZNF234
ENSG00000036257	CUL3
ENSG00000185515	BRCC3
ENSG00000160584	SIK3
ENSG00000168769	TET2
ENSG00000111262	KCNA1
ENSG00000146830	GIGYF1
ENSG00000146247	PHIP
ENSG00000244462	RBM12
ENSG00000124496	TRERF1
ENSG00000111252	SH2B3
ENSG00000136158	SPRY2
ENSG00000170836	PPM1D
ENSG00000157933	SKI
ENSG00000171456	ASXL1
ENSG00000137834	SMAD6
ENSG00000115758	ODC1
ENSG00000145907	G3BP1
ENSG00000157540	DYRK1A
ENSG00000171862	PTEN
ENSG00000147050	KDM6A
ENSG00000134440	NARS1
ENSG00000185129	PURA
ENSG00000196712	NF1
ENSG00000183765	CHEK2
ENSG00000101752	MIB1
ENSG00000148737	TCF7L2
ENSG00000168036	CTNNB1
ENSG00000169855	ROBO1
ENSG00000080603	SRCAP
ENSG00000117139	KDM5B
ENSG00000136710	CCDC115
ENSG00000125207	PIWIL1
ENSG00000176165	FOXG1
ENSG00000049618	ARID1B
ENSG00000204469	PRRC2A
ENSG00000141376	BCAS3
ENSG00000117713	ARID1A
ENSG00000064419	TNPO3
ENSG00000140262	TCF12
