Gene	Category
AHDC1	severe
ANKRD11	severe
ARID1A	severe
ARID1B	severe
ARID2	severe
AUTS2	severe
CHAMP1	severe
CHD2	severe
CHD7	severe
CHD8	severe
CREBBP	severe
CTCF	severe
CTNNB1	severe
DMRT1	severe
DYRK1A	severe
EFTUD2	severe
EHMT1	severe
EP300	severe
FOXG1	severe
FOXP1	severe
GATA2	severe
GATA6	severe
GLI2	severe
GRIN2B	severe
HIVEP2	severe
HNRNPK	severe
KANSL1	severe
KMT2D	severe
MBD5	severe
MED13L	severe
MEF2C	severe
NFIA	severe
NIPBL	severe
OTX2	severe
PAFAH1B1	severe
PURA	severe
RAI1	severe
RERE	severe
SATB2	severe
SCN1A	severe
SCN2A	severe
SETBP1	severe
SETD5	severe
SHANK3	severe
SHH	severe
SIX3	severe
SLC2A1	severe
SOX5	severe
SOX9	severe
STXBP1	severe
SYNGAP1	severe
TCF4	severe
TGIF1	severe
ZEB2	severe
ZIC2	severe
CASK	severe
CDKL5	severe
HCCS	severe
KDM6A	severe
MECP2	severe
PCDH19	severe
WDR45	severe
BMPR1A	moderate
BMPR2	moderate
CHRNA7	moderate
COL11A2	moderate
COL1A1	moderate
COL2A1	moderate
COL5A1	moderate
ELN	moderate
EYA1	moderate
FAS	moderate
FBN1	moderate
FGF10	moderate
FOXC1	moderate
FOXC2	moderate
FZD4	moderate
GATA3	moderate
GCH1	moderate
HOXD13	moderate
IRF6	moderate
JAG1	moderate
KCNH2	moderate
KCNQ1	moderate
KCNQ2	moderate
KIF11	moderate
LHX4	moderate
MITF	moderate
MNX1	moderate
MYCN	moderate
NF1	moderate
NKX2-5	moderate
NOG	moderate
NRXN1	moderate
NSD1	moderate
PAX2	moderate
PAX3	moderate
PITX2	moderate
PTEN	moderate
RB1	moderate
RET	moderate
RPS19	moderate
RPS24	moderate
RPS26	moderate
RUNX2	moderate
SALL1	moderate
SALL4	moderate
SF3B4	moderate
SMAD3	moderate
SMAD4	moderate
SMARCB1	moderate
SOX10	moderate
SOX2	moderate
SPRED1	moderate
STK11	moderate
TBX1	moderate
TBX3	moderate
TBX5	moderate
TCF12	moderate
TCOF1	moderate
TRPS1	moderate
TSC1	moderate
TSC2	moderate
WT1	moderate
ACSL4	moderate
BCOR	moderate
DCX	moderate
EBP	moderate
EFNB1	moderate
FLNA	moderate
FMR1	moderate
GRIA3	moderate
LAMP2	moderate
NSDHL	moderate
OFD1	moderate
OTC	moderate
PDHA1	moderate
PHF6	moderate
PLP1	moderate
PORCN	moderate
SLC6A8	moderate
SLC9A6	moderate
ADNP	new_HI
ASH1L	new_HI
ASXL1	new_HI
ASXL3	new_HI
BCL11A	new_HI
CIC	new_HI
GATAD2B	new_HI
KAT6A	new_HI
KAT6B	new_HI
KMT2A	new_HI
KMT2C	new_HI
MYT1L	new_HI
NFIX	new_HI
PBX1	new_HI
PHIP	new_HI
POGZ	new_HI
SETD2	new_HI
SON	new_HI
SOX11	new_HI
TBL1XR1	new_HI
TBR1	new_HI
TCF20	new_HI
TRIP12	new_HI
WAC	new_HI
ZBTB18	new_HI
ZMYND11	new_HI
ZNF462	new_HI
