benchmark	method	enrichment	fisher_p	neg_log10_fisher_p	bench_sig	total_sig	bench_total	matched	threshold	background_size	benchmark_gene_count	syn_filter	clean_background
Oncogenes	p_missense_avg_vs_lof_80	1.8221715588486749	0.0009534454337326165	3.020704156846534	23	44	319	matched	0.1	11862	355	0.3	True
TSG	p_missense_avg_vs_lof_80	1.483343074225599	0.13763195127461592	0.8612807328778127	12	29	236	matched	0.1	11862	271	0.3	True
GOF genes	p_missense_avg_vs_lof_80	1.701188455008489	0.008524057926545241	2.0693536076329324	18	38	186	matched	0.1	11862	210	0.3	True
Channels	p_missense_avg_vs_lof_80	2.464985994397759	1.3582164123135665e-07	6.867031025942493	25	35	255	matched	0.1	11862	288	0.3	True
HI	p_missense_avg_vs_lof_80	1.8253521126760561	0.33392590344729534	0.4763498903560004	3	5	71	matched	0.1	11862	72	0.3	True
Kinases	p_missense_avg_vs_lof_80	1.933916423712342	0.0005494591809045115	3.2600645655997176	20	35	294	matched	0.1	11862	312	0.3	True
OMIM filtered	p_missense_avg_vs_lof_80	1.1049679487179487	0.3409337601660324	0.467329991649184	57	152	1872	matched	0.1	11862	2441	0.3	True
OMIM	p_missense_avg_vs_lof_80	1.3066589396545278	0.0006915199124842065	3.160195309759296	103	215	2488	matched	0.1	11862	3140	0.3	True
Dimer	p_missense_avg_vs_lof_80	1.4558084540348804	0.015189763557978684	1.8184489862599482	30	68	597	matched	0.1	11862	713	0.3	True
Helicases	p_missense_avg_vs_lof_80	2.762940408873423	1.0498465594000756e-06	5.978874170716145	16	19	121	matched	0.1	11862	128	0.3	True
