g2p id	gene mim	hgnc id	previous gene symbols	disease name	disease mim	disease MONDO	allelic requirement	cross cutting modifier	confidence	variant consequence	variant types	molecular mechanism	molecular mechanism categorisation	molecular mechanism evidence	phenotypes	publications	panel	comments	date of last review	gene	p_esm_90	p_esm_95	p_am_90	p_am_95	p_mis	p_rmc	p_rmc_mis	lof_high
G2P03520	619952.0	17735	C6ORF110; DJ421H19.2; DKFZP434P0531	TMEM63B-related developmental and epileptic encephalopathy with anaemia		MONDO:0800503	monoallelic_autosomal	typically de novo	moderate	altered gene product structure	missense_variant; inframe_deletion	gain of function	evidence	37421948 -> function: protein expression, biochemical; functional_alteration: non patient cells	HP:0011343; HP:0001903; HP:0001250; HP:0007052; HP:0002015; HP:0100704; HP:0011344; HP:0012447; HP:0001249; HP:0001252; HP:0007359; HP:0033725; HP:0030047; HP:0001272; HP:0000639; HP:0011097; HP:0001285	37421948	DD	One of the missense variants was seen in 7 unrelated individuals in PMID 37421948. 	2025-02-27 14:38:25+00:00	TMEM63B	0.692685224827269	0.775754256299163	0.992508913377339	0.923922608691903	0.999999988595507	0.0440623061275749	0.0440623061275749	0.288340149596779
G2P03534	607375.0	24948	DOT1; KIAA1814; KMT4	DOT1L-related neurodevelopmental disorder with intracranial anomalies			monoallelic_autosomal	typically de novo	moderate	altered gene product structure	missense_variant	gain of function	evidence	37827158 -> function: biochemical; functional_alteration: patient cells; models: non-human model organism; rescue: non-human model organism, cell culture model		37827158	DD		2025-02-27 11:54:23+00:00	DOT1L								
G2P03540	607708.0	1462	CAMKD	CAMK2D-related neurodevelopmental disorder and dilated cardiomyopathy		MONDO:1040008	monoallelic_autosomal	typically de novo	moderate	altered gene product structure	splice_donor_variant; missense_variant	gain of function	evidence	38272033 -> function: protein expression, biochemical; functional_alteration: non patient cells; models: non-human model organism		38272033	DD		2025-03-05 14:18:02+00:00	CAMK2D	0.153369106887064	0.0721021978965751	0.0689017150172118	0.0695087702760347	0.869043635364725	0.0090233328687342	0.0090233328687342	0.846755140473
G2P03542	612258.0	19036	KIAA0561	MAST3-related developmental and epileptic encephalopathy			monoallelic_autosomal	typically de novo	moderate	altered gene product structure	missense_variant	gain of function	evidence	34185323 -> function: biochemical		34185323; 35095415	DD		2025-03-03 13:42:28+00:00	MAST3	0.924077326005102	0.808917349444592	0.898413844894592	0.290874506270825	0.999999999999721	0.967262771707834	0.967262771707834	0.359318826485815
G2P03554	608267.0	19902	FLJ13311; GTR2	RRAGC-related congenital dilated cardiomyopathy with hyperlactatemia, deranged liver function and cataracts	620609	MONDO:0957960	monoallelic_autosomal	typically de novo	moderate	altered gene product structure	missense_variant	gain of function	evidence	37057673 -> function: biochemical; functional_alteration: patient cells		37057673; 27234373	DD		2025-03-06 14:04:06+00:00	RRAGC	0.956414455336612	0.956297427469625	0.97001658155507	0.90709376022409	0.999993431234204	0.998558495826596	0.998558495826596	0.344516893123374
G2P03565	613539.0	3649		FEM1B-related neurodevelopmental disorder with or without brain abnormalities			monoallelic_autosomal	typically de novo; restricted mutation set	moderate	altered gene product structure	missense_variant	gain of function	evidence	38465576 -> function: protein expression; functional_alteration: patient cells		31036916; 38465576	DD		2025-03-03 15:03:23+00:00	FEM1B	0.889857450831188	0.978339296710797	0.950777396608205	0.888235024987096	0.999987753632765	0.0560199461428795	0.0560199461428795	0.324228734189589
G2P03574	137163.0	4084	GABAARDELTA	GABRD-related neurodevelopmental disorder with epilepsy			monoallelic_autosomal	typically de novo	moderate	altered gene product structure	missense_variant	gain of function	evidence	34633442 -> functional_alteration: non patient cells		34633442; 25156961	DD	The DDG2P curation team has assigned a 'moderate' confidence category to the association between GoF variants within the missense-constrained region of GABRD and GABRD-related neurodevelopmental disorder with epilepsy. At present, there is insufficient evidence for LoF, however, future publications may change this.	2025-02-03 13:27:03+00:00	GABRD	0.992839300967302	0.982404190711647	0.956476318176212	0.967321102180732	0.999998490262366	0.999528050313633	0.999528050313633	0.488172467733438
G2P03725	611894.0	31527	MIRN140	MIR140-related spondyloepiphyseal dysplasia, Nishimura type		MONDO:0032835	monoallelic_autosomal		moderate	altered gene product structure	ncRNA	gain of function	evidence	30804514 -> function: protein expression; functional_alteration: non patient cells; models: non-human model organism, cell culture model	HP:0034281; HP:0001156; HP:0003498; HP:0011800; HP:0002652; HP:0002663; HP:0002655	30804514	DD; Skeletal		2025-05-07 10:53:46+00:00	MIR140								
G2P00944	134934.0	3690	ACH; CD333; CEK2; JTK4	FGFR3-related achondroplasia	100800	MONDO:0007037	monoallelic_autosomal	restricted mutation set	definitive	altered gene product structure		gain of function	evidence	10611230 -> function: biochemical, protein expression; functional_alteration: non patient cells; models: non-human model organism	HP:0000405; HP:0100864; HP:0002512; HP:0002938; HP:0005733; HP:0000403; HP:0001270; HP:0004060; HP:0003093; HP:0002007; HP:0008921; HP:0000238; HP:0000272; HP:0008905; HP:0001156; HP:0005280; HP:0002781; HP:0002677; HP:0003015; HP:0002970; HP:0001355; HP:0002761; HP:0008414; HP:0001377; HP:0008947; HP:0000006	16411219; 8078586; 7758520; 16912704; 7913883; 7847369; 8599370; 8844216; 8949407; 9001669; 9401015; 11186940; 10611230	DD; Skeletal		2025-03-10 13:44:49+00:00	FGFR3								
G2P03519	612159.0	17056	EXOPHILIN-1; KIAA0985; RABPHILIN	RPH3A-related neurodevelopmental disorder		MONDO:0700092	monoallelic_autosomal	typically de novo	limited	altered gene product structure	missense_variant	gain of function	evidence	37403762 -> function: biochemical, protein expression; functional_alteration: non patient cells		37403762	DD		2025-02-27 15:40:52+00:00	RPH3A	0.936666720105967	0.735864324009756	0.546982262516118	0.3423292192659	0.999997321793902	0.777773501984014	0.777773501984014	0.569367790489045
G2P03713	606495.0	13538	FLJ90097; KIAA1860; MARKL1; NBLA00650; PAR-1D	MARK4-related neurodevelopmental disorder		MONDO:0700092	monoallelic_autosomal		limited	altered gene product structure	missense_variant	gain of function	evidence	38041405 -> function: biochemical; functional_alteration: non patient cells; models: cell culture model		38041405	DD		2025-03-05 10:37:56+00:00	MARK4	0.99671656419017	0.920486171787542	0.857026631721039	0.688365411239317	0.999999999359204	0.979938796397059	0.979938796397059	0.342481139360224
G2P00468	118507.0	1962		CHRNB2-related nocturnal frontal lobe epilepsy	605375	MONDO:0011545	monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0000006	11062464	DD		2025-01-21 12:51:48+00:00	CHRNB2	0.773189348867315	0.42079716305815	0.458144417038505	0.612828094354333	0.902255903164622	0.583624885761814	0.583624885761814	0.976173678387039
G2P00557	165090.0	10447	R-RAS; RRAS1	RRAS-related atypical Noonan syndrome		MONDO:0020297	monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred			24705357	DD		2025-01-27 09:33:39+00:00	RRAS	0.882866832952723	0.887720522921229	0.831228022833186	0.858649942811816	0.943474591585915		0.943474591585915	1.01839903359116
G2P00869	600346.0	12929	MEL-18; RNF110; ZNF144	PCGF2-related craniofacial neurological cardiovascular and skeletal features (Turnpenny-Fry syndrome)	618371		monoallelic_autosomal	restricted mutation set	strong	altered gene product structure	missense_variant	gain of function	inferred		HP:0000494; HP:0003781; HP:0000995; HP:0001631; HP:0000303; HP:0001671; HP:0001182; HP:0002007; HP:0000256; HP:0000164; HP:0002307; HP:0001167; HP:0100729; HP:0000153; HP:0004322; HP:0011844; HP:0000492; HP:0008050; HP:0001155; HP:0000271; HP:0100807; HP:0011297; HP:0002209; HP:0000290; HP:0000598; HP:0001328; HP:0000951; HP:0002817; HP:0003508; HP:0000306; HP:0000276; HP:0001000; HP:0001263; HP:0002019; HP:0008551; HP:0000929; HP:0008070	30526864; 36105049; 34750959; 30343942	DD; Skin		2025-01-16 11:49:56+00:00	PCGF2	0.980595879367047	0.954582399117845	0.994448203874225	0.973566232260079	0.999999951458856	0.970538017493708	0.970538017493708	0.416904175687051
G2P01031	603305.0	6250	EAG; EAG1; H-EAG; HEAG; K(V)10.1; KV10.1	KCNH1-related Temple-Baraitser syndrome	611816	MONDO:0012735	monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0000343; HP:0001250; HP:0000007; HP:0011304; HP:0004425; HP:0000154; HP:0010055; HP:0001252; HP:0000286; HP:0006887; HP:0000316; HP:0009882; HP:0001798; HP:0010864; HP:0009778; HP:0002714; HP:0002058; HP:0000445	25420144; 32956079	DD; Skin		2025-02-07 12:37:59+00:00	KCNH1	0.570640943759547	0.144572479538279	0.679247574483636	0.245330327917568	0.999855067363465	0.029836227829855	0.029836227829855	0.453607689318556
G2P01283	102576.0	171	ACVR1A; ACVRLK2; ALK2; SKR1	ACVR1-related fibrodysplasia ossificans progressiva	135100	MONDO:0007606	monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0000405; HP:0000687; HP:0002093; HP:0008449; HP:0001822; HP:0010034; HP:0001249; HP:0004629; HP:0006429; HP:0011989; HP:0010054; HP:0003016; HP:0004209; HP:0011987; HP:0001596; HP:0011988; HP:0000407; HP:0002650; HP:0000006	16642017; 19085907; 18830232; 18203193; 19330033	DD; Skin; Skeletal		2023-05-24 09:07:31+00:00	ACVR1	0.069308164687955	0.0144563082472719	0.0007456183154295	0.0006036154531771	0.568381670366118	0.101301178603553	0.101301178603553	0.88439250450817
G2P01314	615951.0	29316	KIAA1577	ZSWIM6-related acromelic frontonasal dysostosis	603671	MONDO:0011359	monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0011803; HP:0002084; HP:0001274; HP:0000204; HP:0000175; HP:0100258; HP:0001762; HP:0001249; HP:0000455; HP:0001805; HP:0002119; HP:0000248; HP:0001159; HP:0000006; HP:0000316	25105228	DD; Skeletal		2025-01-28 18:03:52+00:00	ZSWIM6	0.807661404136194	0.816342258380648	0.999999999979773	0.999999911877297	1.0	0.999999999995226	0.999999999995226	0.0823394252128531
G2P01514	606951.0	18873	HLCD; IDDM19; MDA-5; MDA5	IFIH1-related Singleton-Merten syndrome	182250	MONDO:0024535	monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0001806; HP:0001650; HP:0001762; HP:0000992; HP:0002673; HP:0001640; HP:0000706; HP:0006232; HP:0001252; HP:0004325; HP:0001682; HP:0008102; HP:0009771; HP:0004382; HP:0004322; HP:0002827; HP:0003182; HP:0000545; HP:0001324; HP:0002515; HP:0004380; HP:0006353; HP:0000327; HP:0001761; HP:0000939; HP:0006386; HP:0006112; HP:0000670; HP:0002857; HP:0002205; HP:0005303; HP:0001635; HP:0000501; HP:0000006	25620204; 28319323	DD; Eye; Skeletal		2023-05-24 09:07:32+00:00	IFIH1	0.170020517859978	0.0401391395007075	0.0604744944486137	0.376489063328506	0.184947680613141		0.184947680613141	1.36369338794458
G2P01600	602959.0	3192	EEF1AL; HS1; STN; STNL	EEF1A2-related infantile epileptic encephalopathy	616409	MONDO:0014625	monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0001263; HP:0001250; HP:0001249; HP:0000271; HP:0000929	23647072; 32196822	DD		2015-07-22 16:15:38+00:00	EEF1A2	0.997781031355772	0.993972299710841	0.998187363610568	0.99409239348122	0.999998889439017	0.997617991339746	0.997617991339746	0.124552157036486
G2P01656	165215.0	3498	EVI1; KMT8E; MDS1; MDS1-EVI1; PRDM3	MECOM-related radioulnar synostosis with amegakaryocytic thrombocytopenia	616738	MONDO:0014758	monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0002974; HP:0004859	26581901	DD		2016-01-03 13:27:06+00:00	MECOM	0.999999311256306	0.999946373612682	0.999999999973797	0.999996938398765	1.0	0.999998014229884	0.999998014229884	0.126182083221006
G2P01661	602842.0	17493	GEM	GMNN-related primordial dwarfism associated with Meier-Gorlin syndrome	616835		monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0003510	26637980	DD		2025-01-17 10:31:52+00:00	GMNN								
G2P01731	600998.0	4390	G-ALPHA-Q; GAQ	GNAQ-related congenital hemangioma		MONDO:0018715	monoallelic_autosomal	typically mosaic; restricted mutation set	strong	altered gene product structure		gain of function	inferred			27058448	DD		2025-01-27 16:33:52+00:00	GNAQ	0.195568307194117	0.23792636734364	0.216351751733505	0.232960022044195	0.958635357535601	0.0230632809547355	0.0230632809547355	0.436744147426868
G2P01732	139313.0	4379	FBH; FBH2; FHH2; HHC2	GNA11-related congenital hemangioma		MONDO:0018715	monoallelic_autosomal	typically mosaic; restricted mutation set	strong	altered gene product structure		gain of function	inferred			27058448	DD		2025-01-27 16:33:15+00:00	GNA11	0.97860516269454	0.959508836216078	0.996565415981268	0.995515097154032	0.999999974417218	0.989792677166145	0.989792677166145	0.20949572781417
G2P01868	604397.0	4382		GNA14-related congenital vascular tumours			monoallelic_autosomal	typically mosaic; restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0001028	27476652	DD		2017-02-09 10:40:34+00:00	GNA14	0.149064664253449	0.137952031463673	0.156879450064955	0.263137482150889	0.240751898392106		0.240751898392106	1.46007367905762
G2P01878	602717.0	4588	EB11; GLUN2D; NMDAR2D; NR2D	GRIN2D-related severe epileptic encephalopathy treatable with NMDA receptor channel blockers	617162		monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0200134	27616483	DD		2025-01-16 22:55:35+00:00	GRIN2D	0.932072683090081	0.663790323431823	0.959050132543283	0.750157324029573	0.999999999831291	0.0278197903779629	0.0278197903779629	0.445611727253049
G2P02218	600673.0	12511	NOR-90; UBF; UBF1; UBF2	UBTF-related childhood-onset neurodegeneration			monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0001332; HP:0040196; HP:0001251; HP:0002120; HP:0011463; HP:0002187; HP:0002180	28777933	DD		2017-08-30 11:26:21+00:00	UBTF	0.997978174102522	0.864989967503003	0.867347720012405	0.532717158156027	0.999999999999959	0.160213303588283	0.160213303588283	0.132561451216291
G2P02221	605356.0	12852	14-3-3G; 14-3-3GAMMA; PPP1R170	YWHAG-related early-onset epilepsy		MONDO:0018614	monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0001249; HP:0001263; HP:0011398; HP:0001250	28777935	DD		2017-08-30 11:56:31+00:00	YWHAG	0.935352776172682	0.771590757398001	0.993176229033662	0.976597384840992	0.99997024111223		0.99997024111223	0.194668310516295
G2P02256	189980.0	76	ABL; C-ABL; JTK7; P150	ABL1-related congenital heart defects and skeletal malformations	617602		monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0001508; HP:0002019; HP:0001629; HP:0002650; HP:0001631; HP:0001388; HP:0005684	28288113; 32643838	DD; Skin		2025-02-06 16:08:23+00:00	ABL1	0.999837582630565	0.985849108505372	0.999847000221533	0.994239920753043	1.0	0.230594775204259	0.230594775204259	0.147879965038746
G2P02574	601013.0	1392	BII; CACH6; CACNL1A6; CAV2.3	CACNA1E-related epileptic encephalopathy with contractures, macrocephaly, and dyskinesia	618285		monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0001332; HP:0001250; HP:0000256; HP:0001249; HP:0002487	30343943	DD		2025-01-14 16:14:54+00:00	CACNA1E	0.335513667672807	0.290213093626838	0.884795779125921	0.108861075446122	1.0	0.0166297061290302	0.0166297061290302	0.200903110484829
G2P02588	600935.0	6269	KIR6.1	KCNJ8-related Cantu syndrome			monoallelic_autosomal	restricted mutation set	strong	altered gene product structure		gain of function	inferred		HP:0001561; HP:0001643; HP:0004948; HP:0000998; HP:0001698; HP:0000708; HP:0000280	25275207; 24700710; 24176758	DD		2019-03-08 17:52:14+00:00	KCNJ8	0.0067857391848416	0.0451555411203058	0.0207124799893014	0.207404828261791	0.789872649435023	0.0030201747131294	0.0030201747131294	0.653195178302639
