GENE	GOF	LOF
ABCC9	1	0
ACADS	16	0
ACTA1	1	0
ADCY5	1	0
AFF4	3	0
ALK	3	0
APOA1	1	0
ARHGAP31	2	0
ATP6V1B2	1	0
CA4	2	0
CACNA1D	2	0
CADM1	2	0
CAPN5	1	0
CARD14	9	0
CAV3	6	0
CEL	1	0
CFB	14	0
CHMP4B	2	0
CHN1	9	0
CHRNB1	2	0
CHRNB2	3	0
CHRND	1	0
CNGB3	6	0
COL17A1	2	0
CRYAB	3	0
CTLA4	1	0
CXCR4	3	0
DNM2	9	0
DYRK1B	2	0
EDNRA	2	0
EPAS1	4	0
EPOR	2	0
F12	1	0
F2	1	0
F5	1	0
FAM111B	2	0
FAM83H	2	0
FGF12	1	0
FIBP	1	0
FLNB	5	0
GDF6	1	0
GFAP	1	0
GLUD1	3	0
GNA11	2	0
GNB1	8	0
GUCA1A	1	0
HK1	1	0
HOXA13	1	0
IDH2	2	0
IFIH1	8	0
IL12RB1	1	0
INS	1	0
ISL1	1	0
ITGA2B	4	0
ITGB3	3	0
ITPR1	1	0
KAT6B	1	0
KCNC3	3	0
KCND2	2	0
KCNE5	2	0
KCNH1	11	0
KCNK17	1	0
KCNMA1	1	0
KCNN4	2	0
KCNT1	10	0
KIF21A	1	0
KITLG	1	0
KRT1	2	0
MFN2	1	0
MSX2	1	0
MTOR	1	0
NFKB2	3	0
NFKBIA	3	0
NLRC4	2	0
NLRP12	1	0
NLRP3	19	0
NOD2	2	0
NPPA	1	0
NRAS	3	0
NRL	1	0
PACS1	1	0
PDE3A	6	0
PFN1	1	0
PHGDH	1	0
PIEZO1	8	0
PIEZO2	2	0
PIK3CD	3	0
PLCG2	1	0
POLR3B	1	0
PPM1D	2	0
PRDM8	1	0
PRKAG3	1	0
PRKCA	3	0
PRKG1	1	0
PROC	1	0
PRPF31	2	0
PTDSS1	4	0
RAF1	15	0
RIT1	7	0
ROR2	4	0
RPGRIP1	1	0
RRM2B	1	0
RYR1	1	0
SAMD9L	1	0
SCN10A	4	0
SCN11A	8	0
SH3BP2	2	0
SLC12A2	1	0
SLC1A3	1	0
SLC25A15	1	0
SLC2A2	4	0
SMARCA4	1	0
SNCA	1	0
SNTA1	2	0
SOS1	23	0
SPTLC1	2	0
SRC	1	0
TEK	1	0
TMEM173	2	0
TNFRSF1A	3	0
TNFRSF6B	2	0
TP63	16	0
TPM2	9	0
TPM3	7	0
TRPA1	1	0
TRPM4	4	0
TRPV3	4	0
TUBB4A	4	0
VAPB	1	0
WT1	3	0
ZIC1	3	0
