score	percentile	total_obs	total_exp
AM	0	177799	153282.142737
AM	1	173820	158623.47434
AM	2	169933	161695.137949
AM	3	167565	162954.251711
AM	4	164233	162228.901824
AM	5	161054	161194.2114659
AM	6	157540	159844.219821
AM	7	156012	158694.405542
AM	8	152295	157266.756168
AM	9	150423	155543.897836
AM	10	148473	154150.346881
AM	11	146029	152709.8115534
AM	12	144418	151330.8080492
AM	13	141959	150104.400307
AM	14	140340	148960.222504
AM	15	138139	147683.533966
AM	16	137413	146619.751243
AM	17	135546	145352.770203
AM	18	133776	144469.1648984
AM	19	132260	143371.28913
AM	20	131489	142615.114858
AM	21	130947	141431.751374
AM	22	129172	140895.706794
AM	23	128559	140140.16804
AM	24	127617	139495.200858
AM	25	126166	138356.182215
AM	26	125239	137670.66577
AM	27	124721	137051.283075
AM	28	123227	136347.742965
AM	29	122668	135644.591074
AM	30	121988	135133.469799
AM	31	121012	134471.293414
AM	32	120426	133881.894575
AM	33	119704	133783.978858
AM	34	118910	133253.1726844
AM	35	118620	132794.3873223
AM	36	117939	132313.292884
AM	37	117540	131963.597738
AM	38	117581	132000.293954
AM	39	117009	131641.866877
AM	40	115216	131066.178463
AM	41	115823	130933.9644427
AM	42	115312	130939.6093923
AM	43	114757	130640.251525
AM	44	114314	130393.5387456
AM	45	114365	130307.469475
AM	46	113556	130502.434636
AM	47	113528	130238.260897
AM	48	112952	130320.479189
AM	49	112150	130109.102497
AM	50	111628	130000.859328
AM	51	112092	130351.419951
AM	52	111564	130112.862246
AM	53	111116	130273.04556
AM	54	110964	130219.858384
AM	55	110078	130273.1098062
AM	56	109717	130108.280117
AM	57	109623	130376.075053
AM	58	109430	130635.74771
AM	59	108576	130404.798713
AM	60	108638	130593.369585
AM	61	107977	130878.871512
AM	62	107600	130703.605664
AM	63	106938	130782.268124
AM	64	106229	130826.260274
AM	65	106031	131015.016074
AM	66	104981	130594.156436
AM	67	105184	130919.4034742
AM	68	104204	130771.438047
AM	69	103256	130637.140365
AM	70	102361	130684.328306
AM	71	101865	130748.649099
AM	72	101349	130706.082396
AM	73	99667	130598.303611
AM	74	98773	130417.276997
AM	75	98221	130610.255451
AM	76	97086	130654.194058
AM	77	96736	130613.757434
AM	78	95240	130510.114844
AM	79	93886	130377.837129
AM	80	92723	130336.401689
AM	81	92049	130489.0826348
AM	82	90349	130488.4973174
AM	83	89467	130410.69982
AM	84	87443	130211.272227
AM	85	86330	130363.163412
AM	86	84949	130406.832235
AM	87	83025	130447.645705
AM	88	81676	130523.48441
AM	89	79413	130622.922438
AM	90	77108	130477.650916
AM	91	75350	130715.006088
