score	percentile	total_obs	total_exp
AM	0	2335	1913.17908
AM	1	2139	1949.67307
AM	2	2014	1841.90905
AM	3	1745	1721.54611
AM	4	1707	1688.50794
AM	5	1578	1653.06219
AM	6	1543	1606.71719
AM	7	1546	1519.33527
AM	8	1526	1580.03528
AM	9	1494	1521.89599
AM	10	1360	1487.85542
AM	11	1342	1447.38683
AM	12	1363	1426.28934
AM	13	1292	1404.32366
AM	14	1246	1410.3167
AM	15	1231	1349.32003
AM	16	1232	1343.03002
AM	17	1312	1371.17403
AM	18	1185	1321.4008
AM	19	1262	1357.922766
AM	20	1210	1313.62243
AM	21	1246	1317.0184
AM	22	1134	1308.0236
AM	23	1143	1283.56931
AM	24	1111	1264.35482
AM	25	1192	1303.46705
AM	26	1056	1267.92902
AM	27	1132	1260.0993
AM	28	1142	1300.62319
AM	29	1105	1279.8474
AM	30	1085	1266.2884
AM	31	1146	1269.6448
AM	32	1095	1261.40188
AM	33	1175	1311.69537
AM	34	1069	1268.68793
AM	35	1100	1305.6054
AM	36	1100	1308.79487
AM	37	1081	1316.0209
AM	38	1078	1316.3224
AM	39	1133	1297.53218
AM	40	1115	1334.53671
AM	41	1096	1307.7829
AM	42	1117	1300.55301
AM	43	1101	1333.5886
AM	44	1196	1388.8041
AM	45	1186	1382.30631
AM	46	1091	1373.7614
AM	47	1163	1412.551
AM	48	1177	1440.3953
AM	49	1147	1414.80719
AM	50	1163	1445.7795
AM	51	1173	1449.27116
AM	52	1091	1421.1828
AM	53	1153	1481.94
AM	54	1149	1485.387
AM	55	1143	1480.69421
AM	56	1095	1500.1428
AM	57	1170	1515.3088
AM	58	1102	1519.1471
AM	59	1173	1584.84865
AM	60	1118	1542.2757
AM	61	1072	1516.3533
AM	62	1196	1563.3025
AM	63	1139	1570.9069
AM	64	1092	1582.5292
AM	65	1167	1624.21749
AM	66	1170	1626.531
AM	67	1022	1545.4015
AM	68	1184	1631.2192
AM	69	1075	1596.4553
AM	70	1079	1639.3868
AM	71	1123	1631.6362
AM	72	1016	1604.3693
AM	73	1021	1604.2726
AM	74	1032	1643.5594
AM	75	988	1599.3131
AM	76	1007	1623.0954
AM	77	955	1637.5059
AM	78	964	1634.1301
AM	79	925	1649.6854
AM	80	942	1659.0636
AM	81	920	1656.5586
AM	82	904	1711.2195
AM	83	887	1688.5665
AM	84	873	1688.9527
AM	85	814	1690.1135
AM	86	833	1723.6577
AM	87	773	1764.152
AM	88	778	1782.5668
AM	89	716	1771.2621
AM	90	772	1781.7199
AM	91	724	1918.1008
AM	92	665	1939.9497
AM	93	652	1975.1848
AM	94	669	2096.6598
AM	95	623	2206.7236
AM	96	570	2398.1006
AM	97	550	2575.3219
AM	98	511	2926.8382
AM	99	474	4083.48138
ESM_1v_neg	0	703	794.32948
