gene_symbol	disease_count	diseases
ACTL7A	1	male infertility
ACTL9	2	non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 53
ADAM20	1	male infertility
AKAP3	1	spermatogenic failure 82
AMH	1	persistent Mullerian duct syndrome
AMHR2	1	persistent Mullerian duct syndrome
ARMC2	2	non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 38
ASZ1	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
AURKC	1	spermatogenic failure 5
BMP15	2	46 XX gonadal dysgenesis; ovarian dysgenesis 2
BNC1	2	46 XX gonadal dysgenesis; premature ovarian failure 16
BRDT	1	spermatogenic failure 21
C14orf39	2	premature ovarian failure 18; spermatogenic failure 52
CATSPER1	2	non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 7
CCDC146	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
CCDC34	1	spermatogenic failure 76
CEP112	1	spermatogenic failure 44
CEP131	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
CFAP251	2	non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 33
CFAP44	2	non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 20
CFAP45	1	heterotaxy, visceral, 11, autosomal, with male infertility
CFAP65	2	non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 40
CFAP69	2	non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 24
CFAP70	1	non-syndromic male infertility due to sperm motility disorder
CST1	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
CT55	1	spermatogenic failure, X-linked, 7
DAZL	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
DDX25	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
DDX53	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
DHH	2	46,XY complete gonadal dysgenesis; 46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome
DIAPH2	1	premature ovarian failure 2A
DMC1	1	spermatogenic failure
DMRTA2	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
DNAH12	2	oligoasthenoteratozoospermia; spermatogenic failure
DNAH17	2	non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 39
DNAH2	1	spermatogenic failure 45
DNAH3	1	male infertility
DNALI1	1	spermatogenic failure 83
DNHD1	1	spermatogenic failure 65
DPY19L2	2	male infertility due to globozoospermia; spermatogenic failure 9
DZIP1	1	spermatogenic failure 47
ELMO1	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
FAM47C	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
FIGLA	1	premature ovarian failure 6
FKBP6	1	spermatogenic failure 77
FSHB	1	hypogonadotropic hypogonadism 24 without anosmia
FSHR	3	46 XX gonadal dysgenesis; ovarian dysgenesis 1; ovarian hyperstimulation syndrome
FSIP2	2	non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 34
GDF9	1	premature ovarian failure 14
GGN	1	spermatogenic failure 69
GGPS1	1	muscular dystrophy, congenital hearing loss, and ovarian insufficiency syndrome
GNRH1	2	hypogonadotropic hypogonadism; hypogonadotropic hypogonadism 12 with or without anosmia
GNRHR	2	hypogonadotropic hypogonadism; hypogonadotropic hypogonadism 7 with or without anosmia
HELB	1	familial ovarian carcinoma
HFM1	2	male infertility with azoospermia or oligozoospermia due to single gene mutation; premature ovarian failure 9
HIPK4	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
HORMAD1	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
HSF2BP	1	premature ovarian failure 19
IGSF3	1	familial congenital nasolacrimal duct obstruction
KCNU1	1	spermatogenic failure 79
KISS1	2	hypogonadotropic hypogonadism; hypogonadotropic hypogonadism 13 with or without anosmia
KLHL10	2	male infertility with azoospermia or oligozoospermia due to single gene mutation; spermatogenic failure 11
LHB	1	hypogonadotropic hypogonadism 23 with or without anosmia
M1AP	1	spermatogenic failure 48
MAGEE2	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
MCM9	3	46,XX ovarian dysgenesis-short stature syndrome; male infertility; premature ovarian failure 10
MEIOB	2	male infertility with azoospermia or oligozoospermia due to single gene mutation; spermatogenic failure 22
MMRN1	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
MOSPD2	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
MSH4	1	premature ovarian failure 20
MSH5	2	premature ovarian failure 13; spermatogenic failure 74
MYCBPAP	1	spermatogenic failure
NANOS1	2	male infertility with azoospermia or oligozoospermia due to single gene mutation; spermatogenic failure 12
NHLH2	1	hypogonadotropic hypogonadism 27 without anosmia
NLGN4Y	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
