gene_symbol	loeuf_v4	xgb_diff	xgb_percentile	cis_percentile	xgb_pred	cis_original	articles_found	is_ndd	has_gencc_support	is_embryonic_lethal_mouse	is_fertility_mouse	testis_pct	blood_pct	ovary_pct	testis_specific	ovary_specific	fetal_median_expr	fetal_high_expr	gtex_median_expr
CELF5	0.1603	79.2	99.9	20.7	0.45	0.0	19	False	False	False	False	75.0	59.3	79.7	False	False	8.15	False	0.21
TUBA1B	0.3609	79.1	99.7	20.7	0.4	0.0	31	False	False	False	False	99.3	98.7	99.0	False	False	295.09	True	200.0
AP2B1	0.3428	79.0	99.7	20.7	0.39	0.0	21	False	False	True	False	97.9	96.3	97.5	False	False	123.04	False	63.41
NRF1	0.1171	78.8	99.5	20.7	0.35	0.0	50	False	False	False	False	80.4	89.6	88.6	False	False	103.6	False	11.55
EIF4G2	0.1009	78.8	99.5	20.7	0.35	0.0	32	False	False	True	False	99.3	98.8	99.4	False	False	246.56	True	240.0
ELAVL4	0.1157	78.7	99.4	20.7	0.34	0.0	42	False	False	False	False	75.3	55.9	46.2	False	False	12.1	False	0.05
GSK3A	0.3583	78.7	99.3	20.7	0.33	0.0	37	False	False	False	False	95.3	97.5	94.9	False	False	34.44	False	42.8
RAB6B	0.4085	78.6	99.3	20.7	0.33	0.0	6	False	False	False	False	76.0	79.1	73.9	False	False	8.42	False	6.2
SSBP2	0.4559	78.6	99.2	20.7	0.32	0.0	22	False	False	False	False	68.4	79.1	88.0	False	False	360.36	True	8.34
DHX8	0.6751	78.5	99.1	20.7	0.31	0.0	9	False	False	True	False	88.3	93.0	87.0	False	False	31.78	False	16.32
RBM39	0.2864	78.5	99.1	20.7	0.31	0.0	31	False	False	False	False	97.4	97.9	99.3	False	False	300.68	True	121.06
PSMC4	0.439	78.4	99.1	20.7	0.31	0.0	10	False	False	False	False	98.1	97.3	97.3	False	False	28.73	False	83.21
ABR	0.3155	78.4	99.1	20.7	0.31	0.0	50	False	False	False	False	83.4	95.1	90.8	False	False	86.32	False	40.64
PDS5A	0.2943	78.4	99.1	20.7	0.31	0.0	15	False	False	True	False	86.2	89.2	93.5	False	False	277.41	True	25.48
NOVA1	0.4401	78.4	99.0	20.7	0.31	0.0	50	False	False	False	False	72.3	57.1	76.1	False	False	58.21	False	5.2
EEF1A1	0.3394	78.3	99.0	20.7	0.3	0.0	50	False	False	False	False	99.9	99.9	100.0	False	False	139.71	True	1859.72
