Approved symbol	Approved name	Previous symbols	Alias symbols
A1BG	alpha-1-B glycoprotein		
A1BG-AS1	A1BG antisense RNA 1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569
A1CF	APOBEC1 complementation factor		ACF, ASP, ACF64, ACF65, APOBEC1CF
A2M	alpha-2-macroglobulin		FWP007, S863-7, CPAMD5
A2M-AS1	A2M antisense RNA 1		
A2ML1	alpha-2-macroglobulin like 1	CPAMD9	FLJ25179, p170
A2ML1-AS1	A2ML1 antisense RNA 1		
A2ML1-AS2	A2ML1 antisense RNA 2		
A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	IGBS3S, IGB3S
A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	P1	A14GALT, Gb3S, P(k)
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		alpha4GnT
AAAS	aladin WD repeat nucleoporin		
AACS	acetoacetyl-CoA synthetase		FLJ12389, SUR-5, ACSF1
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL	
AADAC	arylacetamide deacetylase		DAC, CES5A1
AADACL2	arylacetamide deacetylase like 2		MGC72001
AADACL2-AS1	AADACL2 antisense RNA 1		
AADACL3	arylacetamide deacetylase like 3		OTTHUMG00000001887
AADACL4	arylacetamide deacetylase like 4		OTTHUMG00000001889
AADACP1	arylacetamide deacetylase pseudogene 1		
AADAT	aminoadipate aminotransferase		KATII, KAT2, KYAT2
AAGAB	alpha and gamma adaptin binding protein		FLJ11506, p34
AAK1	AP2 associated kinase 1		KIAA1048, DKFZp686K16132
AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	PTD015, FLJ21035, CK067
AAMP	angio associated migratory cell protein		
AANAT	aralkylamine N-acetyltransferase		SNAT
AAR2	AAR2 splicing factor	C20orf4	bA234K24.2
AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376
AARS1	alanyl-tRNA synthetase 1	AARS	CMT2N, AlaRS
AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	AARSP1	
AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	KIAA1270, bA444E17.1
AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744, AlaXp
AARSD1P1	AARSD1 pseudogene 1		
AASDH	aminoadipate-semialdehyde dehydrogenase		NRPS998, LYS2, ACSF4
AASDH-DT	AASDH divergent transcript		
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		LYS5, CGI-80, AASD-PPT, ACPS
AASDHPPT-AS1	AASDHPPT antisense RNA 1		
AASS	aminoadipate-semialdehyde synthase		LORSDH, LKRSDH, LKR/SDH
AATBC	apoptosis associated transcript in bladder cancer		
AATF	apoptosis antagonizing transcription factor		DED, CHE-1, CHE1, BFR2
AATK	apoptosis associated tyrosine kinase		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77
AAVS1	adeno-associated virus integration site 1		AAV
ABAT	4-aminobutyrate aminotransferase		GABAT, GABA-T
ABCA1	ATP binding cassette subfamily A member 1	ABC1, HDLDT1	TGD
ABCA2	ATP binding cassette subfamily A member 2	ABC2	
ABCA3	ATP binding cassette subfamily A member 3	ABC3	ABC-C, EST111653, LBM180
ABCA3P1	ABCA3 pseudogene 1		
ABCA4	ATP binding cassette subfamily A member 4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3
ABCA5	ATP binding cassette subfamily A member 5		EST90625
ABCA6	ATP binding cassette subfamily A member 6		EST155051
ABCA7	ATP binding cassette subfamily A member 7		ABCX
ABCA8	ATP binding cassette subfamily A member 8		KIAA0822
ABCA9	ATP binding cassette subfamily A member 9		EST640918
ABCA9-AS1	ABCA9 antisense RNA 1		
ABCA10	ATP binding cassette subfamily A member 10		EST698739
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11	EST1133530, FLJ14297
ABCA12	ATP binding cassette subfamily A member 12	ICR2B	DKFZP434G232, LI2
ABCA13	ATP binding cassette subfamily A member 13		FLJ33876, FLJ33951
ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	NCRNA00169, CRYM-AS1	FLJ41766
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene		
ABCB1	ATP binding cassette subfamily B member 1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20, p-170, PGY1
ABCB4	ATP binding cassette subfamily B member 4	PGY3, MDR3	MDR2, PFIC-3, GBD1
ABCB5	ATP binding cassette subfamily B member 5		EST422562, ABCB5beta, ABCB5alpha
ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)		EST45597, umat, MTABC3
ABCB7	ATP binding cassette subfamily B member 7	ABC7	EST140535, Atm1p, ASAT
ABCB8	ATP binding cassette subfamily B member 8		EST328128, M-ABC1, MABC1, MITOSUR
ABCB9	ATP binding cassette subfamily B member 9		EST122234
ABCB10	ATP binding cassette subfamily B member 10		EST20237, M-ABC2, MTABC2
ABCB10P1	ABCB10 pseudogene 1	ABCB10P, ABCB10P2	M-ABC2, MABC2
ABCB10P3	ABCB10 pseudogene 3		
ABCB10P4	ABCB10 pseudogene 4		
ABCB11	ATP binding cassette subfamily B member 11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4
ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	MRP, MRP1	GS-X
ABCC2	ATP binding cassette subfamily C member 2	CMOAT	DJS, MRP2, cMRP
ABCC3	ATP binding cassette subfamily C member 3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D
ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)		MRP4, EST170205, MOAT-B, MOATB
ABCC5	ATP binding cassette subfamily C member 5		MRP5, SMRP, EST277145, MOAT-C
ABCC5-AS1	ABCC5 antisense RNA 1		
ABCC6	ATP binding cassette subfamily C member 6	ARA, PXE	MRP6, EST349056, MLP1, URG7
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1		
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2		
ABCC8	ATP binding cassette subfamily C member 8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2
ABCC9	ATP binding cassette subfamily C member 9		SUR2, CMD1O
ABCC10	ATP binding cassette subfamily C member 10		EST182763, MRP7, SIMRP7
ABCC11	ATP binding cassette subfamily C member 11		MRP8
ABCC12	ATP binding cassette subfamily C member 12		MRP9
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		PRED6, C21orf73, ABCC13P
ABCD1	ATP binding cassette subfamily D member 1	ALD	AMN, ALDP, adrenoleukodystrophy
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1		
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		bA453N3.6
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3		
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4		
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5		
ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ALDR, ALDRP
ABCD3	ATP binding cassette subfamily D member 3	PXMP1	PMP70, ZWS2
ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	PMP69, P70R, EST352188
ABCE1	ATP binding cassette subfamily E member 1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1
ABCE1P1	ABCE1 pseudogene 1		
ABCE1P2	ABCE1 pseudogene 2		
ABCE1P3	ABCE1 pseudogene 3		
ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147
ABCF1-DT	ABCF1 divergent transcript		
ABCF2	ATP binding cassette subfamily F member 2		EST133090, ABC28, M-ABC1, HUSSY-18
ABCF2-H2BK1	ABCF2-H2BK1 readthrough	ABCF2-H2BE1	
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1		
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2		
ABCF3	ATP binding cassette subfamily F member 3		EST201864
ABCG1	ATP binding cassette subfamily G member 1		ABC8
ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)		EST157481, MXR, BCRP, ABCP, CD338
ABCG4	ATP binding cassette subfamily G member 4		WHITE2
ABCG5	ATP binding cassette subfamily G member 5		STSL
ABCG8	ATP binding cassette subfamily G member 8		GBD4
ABHD1	abhydrolase domain containing 1		LABH1, FLJ36128
ABHD2	abhydrolase domain containing 2, acylglycerol lipase		LABH2
ABHD3	abhydrolase domain containing 3, phospholipase		LABH3
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B		FLJ12816
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase		CGI-58, NCIE2
ABHD6	abhydrolase domain containing 6, acylglycerol lipase		
ABHD8	abhydrolase domain containing 8		FLJ11743, MGC14280, MGC2512
ABHD10	abhydrolase domain containing 10, depalmitoylase		FLJ11342
ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226
ABHD12	abhydrolase domain containing 12, lysophospholipase	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A
ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3
ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2, FLJ14906, BEM46L1
ABHD14A	abhydrolase domain containing 14A		DKFZP564O243, DORZ1
ABHD14A-ACY1	ABHD14A-ACY1 readthrough		
ABHD14B	abhydrolase domain containing 14B		MGC15429, CIB
ABHD15	abhydrolase domain containing 15		
ABHD15-AS1	ABHD15 antisense RNA 1		linc-TP53I13, lnc-TP53I13
ABHD16A	abhydrolase domain containing 16A, phospholipase	BAT5	NG26, D6S82E
ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1
ABHD16B-AS1	ABHD16B antisense RNA 1		
ABHD17A	abhydrolase domain containing 17A, depalmitoylase	C19orf27, FAM108A1	MGC5244
ABHD17AP1	ABHD17A pseudogene 1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47
ABHD17AP3	ABHD17A pseudogene 3	FAM108A4, FAM108A4P	
ABHD17AP4	ABHD17A pseudogene 4	FAM108A5, FAM108A5P	
ABHD17AP5	ABHD17A pseudogene 5	FAM108A6, FAM108A6P	
ABHD17AP6	ABHD17A pseudogene 6	FAM108A7P	
ABHD17AP7	ABHD17A pseudogene 7	FAM108A8P	
ABHD17AP8	ABHD17A pseudogene 8	FAM108A9P	
ABHD17AP9	ABHD17A pseudogene 9	FAM108A10P	
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	C9orf77, FAM108B1	CGI-67
ABHD17C	abhydrolase domain containing 17C, depalmitoylase	FAM108C1	
ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106
ABI1	abl interactor 1	SSH3BP1	E3B1, ABI-1
ABI1P1	abl interactor 1 pseudogene 1	SSH3BP1P, ABI1P	
ABI2	abl interactor 2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2
ABI3	ABI family member 3		NESH, SSH3BP3
ABI3BP	ABI family member 3 binding protein		NESHBP, DKFZP586L2024, TARSH
ABITRAM	actin binding transcription modulator	C9orf6, FAM206A	CG-8, FLJ20457, Simiate
ABITRAMP1	ABITRAM pseudogene 1	FAM206BP	
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7, c-ABL, p150
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG
ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	abLIM, limatin
ABLIM2	actin binding LIM protein family member 2		KIAA1808
ABLIM2-DT	ABLIM2 divergent transcript		
ABLIM3	actin binding LIM protein family member 3		KIAA0843
