gene_symbol	ensg	obs_p_misannot_80	exp_p_misannot_80	obs_missense_avg	exp_missense_avg	am_pathogenicity_obs_99th	am_pathogenicity_exp_99th	esm1v_neg_obs_99th	esm1v_neg_exp_99th	popeve_neg_obs_99th	popeve_neg_exp_99th
A1BG	ENSG00000121410	32	43.08848551034	0	0	0	0	0	0	0	0
A1CF	ENSG00000148584	42	57.35834568192	12	19.404303333333335	23	33.408	13	24.642	0	0.16291
A2M	ENSG00000175899	121	178.32229896714	0	0.05361333333333334	0	0	0	0.16084	0	0
A2ML1	ENSG00000166535	140	164.34223298016	0	0	0	0	0	0	0	0
A3GALT2	ENSG00000184389	11	13.18917292374	0	0	0	0	0	0	0	0
A4GALT	ENSG00000128274	0	1.845796894	0.6666666666666666	0.891	0	0	2	2.673	0	0
A4GNT	ENSG00000118017	6	8.03823375439	0	0.034973333333333335	0	0	0	0.10492	0	0
AAAS	ENSG00000094914	47	58.82025639851	0.3333333333333333	0.51783	1	0.68967	0	0.86382	0	0
AACS	ENSG00000081760	67	89.36468060004	1.6666666666666667	2.5063666666666666	0	0	5	7.5191	0	0
AADAC	ENSG00000114771	15	18.89294983155	0	0.12161666666666666	0	0	0	0.36485	0	0
AADACL2	ENSG00000197953	20	19.22569816898	0	0.047523333333333334	0	0	0	0.14257	0	0
AADACL3	ENSG00000188984	8	9.96903247194	0	0	0	0	0	0	0	0
AADACL4	ENSG00000204518	8	13.20719205844	0	0	0	0	0	0	0	0
AADAT	ENSG00000109576	21	48.83817443793	1.3333333333333333	1.7292003333333335	0	0.084001	2	2.5732	2	2.5304
AAGAB	ENSG00000103591	34	35.94626675117	0.6666666666666666	0.26839999999999997	1	0.35989	1	0.44531	0	0
AAK1	ENSG00000115977	32	106.79306198753	5.333333333333333	31.493656666666666	1	27.62	15	66.225	0	0.63597
AAMDC	ENSG00000087884	9	7.56615005865	0	0.7583666666666667	0	0	0	0	0	2.2751
AAMP	ENSG00000127837	11	55.79156200182	0	0.14330666666666667	0	0.42992	0	0	0	0
AANAT	ENSG00000129673	5	11.3114862957	0.6666666666666666	0.23090999999999998	0	0	2	0.69273	0	0
AAR2	ENSG00000131043	28	23.34919091956	0	0	0	0	0	0	0	0
AARD	ENSG00000205002	8	10.9064441298	0	0	0	0	0	0	0	0
AARS1	ENSG00000090861	62	96.92802299682	10	14.979	7	10.885	23	34.052	0	0
AARS2	ENSG00000124608	66	111.83717311573	0.3333333333333333	0.29252666666666666	0	0	1	0.87758	0	0
AARSD1	ENSG00000266967	37	35.29775450073	0.6666666666666666	1.2460333333333333	0	0	2	3.7381	0	0
AASDH	ENSG00000157426	68	82.8911193841	0	0.22512	0	0	0	0.67536	0	0
AASDHPPT	ENSG00000149313	17	28.25114105831	0	0.25628	0	0	0	0.76884	0	0
AASS	ENSG00000008311	82	93.79302047932	0.6666666666666666	1.1336966666666666	1	0.57789	1	2.8232	0	0
AATF	ENSG00000275700	47	57.10082600237	0	0.030896666666666666	0	0	0	0.09269	0	0
AATK	ENSG00000181409	71	170.0212104716	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	45	82.79789482164	0.3333333333333333	0.6911666666666667	1	2.0735	0	0	0	0
ABCA1	ENSG00000165029	124	254.05241541535	3.3333333333333335	5.718733333333333	7	13.174	3	3.9822	0	0
ABCA10	ENSG00000154263	145	161.78414344079	0	0	0	0	0	0	0	0
ABCA12	ENSG00000144452	146	280.01786976921	2.3333333333333335	4.4959999999999996	7	13.488	0	0	0	0
ABCA13	ENSG00000179869	447	434.2741650071	0	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	78	413.20784886078	4	10.522666666666668	12	31.568	0	0	0	0
ABCA3	ENSG00000167972	82	200.66352226913	0	0.6464666666666666	0	0	0	0	0	1.9394
ABCA4	ENSG00000198691	182	252.38198271118	1.6666666666666667	1.5491666666666666	0	0	5	4.6475	0	0
ABCA5	ENSG00000154265	145	169.55321046305	0	0.20365333333333333	0	0.61096	0	0	0	0
ABCA6	ENSG00000154262	138	161.34583068615	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	246	265.53058769873	1.3333333333333333	0.7671666666666667	0	0	4	2.3015	0	0
ABCA8	ENSG00000141338	162	185.2824066335	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	154	175.62340690727	0	0	0	0	0	0	0	0
ABCB1	ENSG00000085563	69	122.44351489707	3.3333333333333335	6.17456	0	0.65268	10	17.871	0	0
ABCB10	ENSG00000135776	44	53.5509312146	1.6666666666666667	5.144333333333333	0	0	5	15.433	0	0
ABCB11	ENSG00000073734	85	129.83553656422	0	0.20688666666666666	0	0	0	0.62066	0	0
ABCB4	ENSG00000005471	70	126.75439417426	1.6666666666666667	5.160333333333333	0	0	5	15.481	0	0
ABCB5	ENSG00000004846	151	170.6525232782	0.6666666666666666	0.5958333333333333	0	0	2	1.7875	0	0
ABCB6	ENSG00000115657	84	115.52224049766	4.666666666666667	6.184333333333334	0	0	14	18.553	0	0
ABCB7	NA	5	17.538878	4.333333333333333	44.399166666666666	0	1.9099	1	5.9476	12	125.34
ABCB8	ENSG00000197150	50	86.69155086987	6.333333333333333	14.946110000000001	0	0	19	44.542	0	0.29633
ABCB9	ENSG00000150967	37	66.87341863085	4.666666666666667	6.2655666666666665	6	6.4527	8	12.344	0	0
ABCC1	ENSG00000103222	80	170.11789577646	1.3333333333333333	2.6025566666666666	0	0.36007	4	7.4476	0	0
ABCC10	ENSG00000124574	109	152.04597251355	0	0.03993666666666667	0	0	0	0.11981	0	0
ABCC11	ENSG00000121270	129	135.67697100556	0	0.03462	0	0	0	0.10386	0	0
ABCC12	ENSG00000140798	116	127.00149339335	0.3333333333333333	0.10073	0	0	1	0.30219	0	0
ABCC2	ENSG00000023839	151	160.69622553883	0	0	0	0	0	0	0	0
ABCC3	ENSG00000108846	114	160.11544242352	0.6666666666666666	0.9396333333333334	0	0	2	2.8189	0	0
ABCC4	ENSG00000125257	95	159.92650270999	0.3333333333333333	1.7452933333333331	0	0	1	4.9887	0	0.24718
ABCC5	ENSG00000114770	60	164.66937053392	0	0.28020666666666666	0	0.29456	0	0.54606	0	0
ABCC6	ENSG00000091262	104	125.59544182052	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	128	195.07335033864	1.3333333333333333	1.6401266666666665	4	4.7902	0	0.13018	0	0
ABCC9	ENSG00000069431	82	165.39416901451	9	29.260203333333333	3	12.644	0	0.31861	24	74.818
ABCD1	NA	1	13.237088	3.6666666666666665	18.38741	0	0.85123	2	12.495	9	41.816
ABCD2	ENSG00000173208	26	54.25487629868	5.666666666666667	11.058033333333332	0	1.4311	17	31.743	0	0
ABCD3	ENSG00000117528	41	90.88964273784	6.333333333333333	26.117666666666665	4	10.424	8	39.41	7	28.519
ABCD4	ENSG00000119688	49	76.22454591194	3	5.2	0	0	9	15.6	0	0
ABCE1	ENSG00000164163	24	72.35590088797	6.333333333333333	43.968666666666664	5	46.486	5	27.295	9	58.125
ABCF1	ENSG00000204574	65	116.564879093	6	33.99633333333333	9	38.647	8	49.227	1	14.115
ABCF2	ENSG00000033050	31	77.36853148934	3.3333333333333335	10.751366666666666	10	28.301	0	2.6274	0	1.3257
ABCF2-H2BE1	ENSG00000285292	35	84.81066655805	2.6666666666666665	12.4113	8	27.497	0	2.4204	0	7.3165
ABCF3	ENSG00000161204	54	101.87714374517	5	12.124833333333333	2	2.8775	13	33.497	0	0
ABCG1	ENSG00000160179	27	79.7418853952	7.333333333333333	13.291	14	25.145	8	14.728	0	0
ABCG2	ENSG00000118777	80	65.88598693298	5	3.1472466666666667	1	0.11724	14	9.3245	0	0
ABCG4	ENSG00000172350	29	62.21462990432	1.3333333333333333	4.2446	2	4.4171	2	8.3167	0	0
ABCG5	ENSG00000138075	53	68.3370458208	0.6666666666666666	0.9736333333333334	0	0	2	2.9209	0	0
ABCG8	ENSG00000143921	73	83.30473198138	3	2.9680666666666666	0	0	9	8.9042	0	0
ABHD1	ENSG00000143994	35	34.24904604364	0	0.11209999999999999	0	0	0	0.3363	0	0
ABHD10	ENSG00000144827	11	21.17279047591	0	0.36123333333333335	0	0	0	1.0837	0	0
ABHD11	ENSG00000106077	18	21.17821098188	0.6666666666666666	0.6524333333333333	0	0	2	1.9573	0	0
ABHD12	ENSG00000100997	34	54.41977626635	1.6666666666666667	3.2349	3	7.3362	2	2.3685	0	0
ABHD12B	ENSG00000131969	33	37.14923432996	0.3333333333333333	0.06294999999999999	0	0	1	0.18885	0	0
ABHD13	ENSG00000139826	2	1.119765424	0.3333333333333333	1.4663000000000002	0	0	0	1.7334	1	2.6655
ABHD14A	ENSG00000248487	13	18.90120504543	0	0.15827	0	0	0	0.47481	0	0
ABHD14A-ACY1	ENSG00000114786	42	58.52251816515	0	0.304	0	0	0	0.912	0	0
ABHD14B	ENSG00000114779	11	10.31333380366	0	0	0	0	0	0	0	0
ABHD15	ENSG00000168792	18	24.4503473754	0	0.25773666666666667	0	0	0	0.77321	0	0
ABHD16A	ENSG00000204427	42	84.53552070532	2.3333333333333335	3.9601333333333333	5	6.6272	2	5.2532	0	0
ABHD16B	ENSG00000183260	23	32.861314558400004	0.3333333333333333	0.3557333333333333	0	0	1	1.0672	0	0
ABHD17A	ENSG00000129968	4	12.1420853401	4.333333333333333	13.449633333333333	10	31.423	3	8.9259	0	0
ABHD17B	ENSG00000107362	7	17.74805549326	6.666666666666667	12.3409	13	27.709	3	5.4976	4	3.8161
ABHD17C	ENSG00000136379	5	19.83643703968	8.333333333333334	18.81886666666667	22	41.941	3	13.12	0	1.3956
ABHD18	ENSG00000164074	49	51.74630781835	2.6666666666666665	1.5579	4	2.8074	4	1.8663	0	0
ABHD2	ENSG00000140526	17	52.5760695511	2.3333333333333335	11.778733333333333	5	21.236	2	11.773	0	2.3272
ABHD3	ENSG00000158201	41	39.94912275532	0.3333333333333333	0.15010333333333334	0	0	1	0.45031	0	0
ABHD4	ENSG00000100439	28	35.80098540657	1.6666666666666667	1.4001033333333333	3	3.4913	2	0.70901	0	0
ABHD5	ENSG00000011198	25	35.09541629706	0	0.3694	0	0	0	1.1082	0	0
ABHD6	ENSG00000163686	31	42.96771884705	0.6666666666666666	1.8583666666666667	0	0	2	5.5751	0	0
ABHD8	ENSG00000127220	8	30.50199234801	0.6666666666666666	5.535566666666667	2	10.066	0	6.5407	0	0
ABI1	ENSG00000136754	8	38.78340948077	3.3333333333333335	10.315893333333333	5	16.695	4	13.67	1	0.58268
ABI2	ENSG00000138443	21	45.64767385977	3	15.085366666666667	6	26.585	3	16.773	0	1.8981
ABI3	ENSG00000108798	19	30.20747410728	0	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	161	186.06578474557	6.666666666666667	4.726403333333334	20	13.702	0	0.47721	0	0
ABITRAM	ENSG00000119328	17	19.52088248581	0	0.518174	0	1.4572	0	0.097322	0	0
ABL1	ENSG00000097007	6	69.83818908372	3	46.82206	7	88.146	2	52.144	0	0.17618
ABL2	ENSG00000143322	27	66.38360422661	14.666666666666666	41.171	31	81.434	13	42.079	0	0
ABLIM1	ENSG00000099204	35	94.92717707351	6.666666666666667	11.683566666666668	15	29.175	5	5.8757	0	0
ABLIM2	ENSG00000163995	45	121.209177937	9.333333333333334	19.10066666666667	0	2.315	28	54.987	0	0
ABLIM3	ENSG00000173210	50	95.41272116547	4	12.8302	8	33.562	4	4.9286	0	0
ABO	ENSG00000175164	2	5.5711780652	0	0	0	0	0	0	0	0
ABR	ENSG00000159842	32	136.22074261758002	3.3333333333333335	18.801633333333335	10	42.915	0	1.1799	0	12.31
ABRA	ENSG00000174429	16	17.6211206203	0	0	0	0	0	0	0	0
ABRACL	ENSG00000146386	4	3.08171575858	0	0	0	0	0	0	0	0
ABRAXAS1	ENSG00000163322	23	30.91858940606	0	0	0	0	0	0	0	0
ABRAXAS2	ENSG00000165660	16	32.83242259918	0.3333333333333333	1.2501433333333334	1	3.0652	0	0.68523	0	0
ABT1	ENSG00000146109	10	13.69609861036	0.3333333333333333	0.20301666666666665	0	0	1	0.60905	0	0
ABTB1	ENSG00000114626	38	56.60274370108	0	0.20250333333333334	0	0.50621	0	0.1013	0	0
ABTB2	ENSG00000166016	54	114.17308068105	0.3333333333333333	2.051966666666667	1	3.8246000000000002	0	2.3313	0	0
ACAA1	ENSG00000060971	34	41.47246585697	0.3333333333333333	0.3077166666666667	0	0.40986	1	0.51329	0	0
ACAA2	ENSG00000167315	31	38.27679398103	5.666666666666667	4.651	0	0	17	13.953	0	0
ACACA	ENSG00000278540	95	257.60198370056	0.6666666666666666	9.013333333333334	2	27.04	0	0	0	0
ACACB	ENSG00000076555	210	290.90992433698	0	0.2276733333333333	0	0.68302	0	0	0	0
ACAD10	ENSG00000111271	110	110.0339580487	0	0.23801333333333333	0	0	0	0.71404	0	0
ACAD11	ENSG00000240303	79	91.46630888435	1	1.1884666666666666	0	0	3	3.5654	0	0
ACAD8	ENSG00000151498	35	46.0251210204	0	0.24253	0	0	0	0.72759	0	0
ACAD9	ENSG00000177646	52	65.92678835789	1	0.8804666666666666	0	0	3	2.6414	0	0
ACADL	ENSG00000115361	48	46.69896892496	5.666666666666667	4.272333333333333	0	0	17	12.817	0	0
ACADM	ENSG00000117054	41	46.64739645575	11.666666666666666	11.702666666666666	0	0	35	35.108	0	0
ACADS	ENSG00000122971	22	52.58777142711	17	20.424666666666667	0	0	51	61.274	0	0
ACADSB	ENSG00000196177	34	45.65189842649	3.3333333333333335	3.9096666666666664	0	0	10	11.729	0	0
