MouseMGIID	MarkerSymbol	MarkerName	MouseSymbol	MouseName	MP_ID	MP_Term	AlleleAccID	HomologyClusterID	HumanNCBIorMGIID	HumanSymbol	HumanName
MGI:99607	Abca1		Abca1		MP:0001922,MP:0001923		Abca1<+>|Abca1<tm1Wpfl>|Abca1<tm1Jdm>|Abca1<tm1Wpfl>	50217116	HGNC:29	ABCA1	
MGI:99606	Abca2		Abca2		MP:0001923		Abca2<tm1Nina>	50227429	HGNC:32	ABCA2	
MGI:97569	Abcb4		Abcb4		MP:0001923		Abcb4<tm1Bor>	50217122	HGNC:45	ABCB4	
MGI:87874	Ace		Ace		MP:0001922		Ace<tm1Keb>|Ace<tm1Unc>|Ace<tm2Keb>	50221051	HGNC:2707	ACE	
MGI:87876	Ache		Ache		MP:0001924		Ache<tm4Pata>	50231430	HGNC:108	ACHE	
MGI:1859515	Acrbp		Acrbp		MP:0001922		Acrbp<tm1Tba>	50232961	HGNC:17195	ACRBP	
MGI:1354713	Acsl4		Acsl4		MP:0001923		Acsl4<tm1Tty>|Acsl4<+>	50217177	HGNC:3571	ACSL4	
MGI:1920610	Actrt1		Actrt1		MP:0001922		Actrt1<em1Xwei>	50232970	HGNC:24027	ACTRT1	
MGI:102806	Acvr2a		Acvr2a		MP:0001923		Acvr2a<tm1Hsch>	50217193	HGNC:173	ACVR2A	
MGI:1340894	Adam2		Adam2		MP:0001922		Adam2<tm1Dgm>	50232977	HGNC:198	ADAM2	
MGI:105984	Adam24		Adam24		MP:0001922		Adam24<tm1Pmkf>	50232981	HGNC:203	ADAM24P	
MGI:107247	Adam7		Adam7		MP:0001922		Adam7<tm1Tigm>	50232988	HGNC:214	ADAM7	
MGI:109249	Adamts1		Adamts1		MP:0001923		Adamts1<tm1Hku>|Adamts1<tm1Mapr>	50232155	HGNC:217	ADAMTS1	
MGI:1925044	Adamtsl2		Adamtsl2		MP:0001922		Adamtsl2<stb>	50217208	HGNC:14631	ADAMTSL2	
MGI:99675	Adcy3		Adcy3		MP:0001922,MP:0001923		Adcy3<tm1Drs>	50217214	HGNC:234	ADCY3	
MGI:105094	Adcyap1		Adcyap1		MP:0001923		Adcyap1<tm1Aba>|Adcyap1<tm1Nms>	50217218	HGNC:241	ADCYAP1	
MGI:108449	Adcyap1r1		Adcyap1r1		MP:0001923		Adcyap1r1<+>|Adcyap1r1<tm1Bbt>|Adcyap1r1<tm1Bbt>	50217219	HGNC:242	ADCYAP1R1	
MGI:1340051	Adgrg1		Adgrg1		MP:0001922		Adgrg1<+>|Adgrg1<tm1Lex>	50221438	HGNC:4512	ADGRG1	
MGI:2446854	Adgrg2		Adgrg2		MP:0001922		Adgrg2<tm1Bend>	50222713	HGNC:4516	ADGRG2	
MGI:104774	Adra1b		Adra1b		MP:0001922		Adra1b<tm1Cta>	50229564	HGNC:278	ADRA1B	
MGI:1100819	Aff1		Aff1		MP:0001922		Aff1<Rob>|Aff1<+>	50217257	HGNC:7135	AFF1	
MGI:2159437	Agtpbp1		Agtpbp1		MP:0001922,MP:0001923,MP:0001924		Agtpbp1<pcd-2J>|Agtpbp1<pcd-6J>|Agtpbp1<pcd-8J>|Agtpbp1<pcd>	50218768	HGNC:17258	AGTPBP1	
MGI:105043	Ahr		Ahr		MP:0001923		Ahr<tm1Gonz>	50217279	HGNC:348	AHR	
MGI:1338803	Aire		Aire		MP:0001922,MP:0001924		Aire<tm1Pltn>|Aire<tm1Ptsn>	50227410	HGNC:360	AIRE	
MGI:1353471	Airn		Airn		MP:0001923		Airn<tm2.1Dpb>	50233018	HGNC:34515	AIRN	
MGI:2685080	Ak9		Ak9		MP:0001924		Ak9<em1Mdj>	50217301	HGNC:33814	AK9	
MGI:104729	Akap1		Akap1		MP:0001923		Akap1<tm1Gsm>	50217299	HGNC:367	AKAP1	
MGI:1932576	Akap12		Akap12		MP:0001924		Akap12<tm1Ihg>	50217300	HGNC:370	AKAP12	
MGI:102794	Akap4		Akap4		MP:0001922		Akap4<em1Bbw>	50233024	HGNC:374	AKAP4	
MGI:2144489	Alkbh5		Alkbh5		MP:0001922		Alkbh5<tm1.1Klng>	50230238	HGNC:25996	ALKBH5	
MGI:1277097	Alx3		Alx3		MP:0001923		Alx3<tm1Hubr>	50232642	HGNC:449	ALX3	
MGI:88002	Ambp		Ambp		MP:0001923		Ambp<tm1Kkm>|Ambp<tm1Miya>	50217360	HGNC:453	AMBP	
MGI:88006	Amh		Amh		MP:0001922		Amh<tm1Bhr>	50231939	HGNC:464	AMH	
MGI:105062	Amhr2		Amhr2		MP:0001922		Amhr2<tm1Bhr>	50233042	HGNC:465	AMHR2	
MGI:88024	Ank1		Ank1		MP:0001924		Ank1<nb>	50217379	HGNC:492	ANK1	
MGI:3045421	Ank		Ank		MP:0001922,MP:0001923		Ank<ank>	50217383	HGNC:15492	ANKH	
MGI:5006716	Ankrd31		Ankrd31		MP:0001923		Ankrd31<em1Atot>|Ankrd31<em2Atot>	50233051	HGNC:26853	ANKRD31	
MGI:3576659	Ano5		Ano5		MP:0001922		Ano5<em1Huyi>|Ano5<tm1.2Naga>	50227413	HGNC:27337	ANO5	
MGI:101919	Ap1g1		Ap1g1		MP:0001922		Ap1g1<fgt>	50217242	HGNC:555	AP1G1	
MGI:107734	Ap3d1		Ap3d1		MP:0001923		Ap3d1<mh-4J>	50225876	HGNC:568	AP3D1	
MGI:1306796	Apaf1		Apaf1		MP:0001922,MP:0001923		Apaf1<fog>|Apaf1<tm1Her>	50229977	HGNC:576	APAF1	
MGI:88052	Apob		Apob		MP:0001922		Apob<+>|Apob<tm1Bres>	50217436	HGNC:603	APOB	
