gene_symbol	ensg	obs_p_misannot_80	exp_p_misannot_80	obs_missense_avg	exp_missense_avg	am_pathogenicity_obs_99th	am_pathogenicity_exp_99th	esm1v_neg_obs_99th	esm1v_neg_exp_99th	popeve_neg_obs_99th	popeve_neg_exp_99th
A1BG	ENSG00000121410	40	54.92675709894	0	0	0	0	0	0	0	0
A1CF	ENSG00000148584	48	64.49688077144	12	19.404303333333335	23	33.408	13	24.642	0	0.16291
A2M	ENSG00000175899	114	178.2322979033	0	0.05361333333333334	0	0	0	0.16084	0	0
A2ML1	ENSG00000166535	155	183.43273328952	0	0	0	0	0	0	0	0
A3GALT2	ENSG00000184389	35	41.93452652381	0	0	0	0	0	0	0	0
A4GALT	ENSG00000128274	21	33.33535805068	0.6666666666666666	0.891	0	0	2	2.673	0	0
A4GNT	ENSG00000118017	14	27.28168703887	0	0.034973333333333335	0	0	0	0.10492	0	0
AAAS	ENSG00000094914	56	68.9410624986	0.3333333333333333	0.51783	1	0.68967	0	0.86382	0	0
AACS	ENSG00000081760	62	93.79630403594	1.6666666666666667	2.5063666666666666	0	0	5	7.5191	0	0
AADAC	ENSG00000114771	23	33.88430287332	0	0.12161666666666666	0	0	0	0.36485	0	0
AADACL2	ENSG00000197953	44	37.06555569958	0	0.047523333333333334	0	0	0	0.14257	0	0
AADACL3	ENSG00000188984	28	33.78133741437	0	0	0	0	0	0	0	0
AADACL4	ENSG00000204518	17	33.339506654270004	0	0	0	0	0	0	0	0
AADAT	ENSG00000109576	24	52.24407799167	1.3333333333333333	1.7292003333333335	0	0.084001	2	2.5732	2	2.5304
AAGAB	ENSG00000103591	36	39.79786925045	0.6666666666666666	0.26839999999999997	1	0.35989	1	0.44531	0	0
AAK1	ENSG00000115977	35	111.23338325771	5.333333333333333	31.493656666666666	1	27.62	15	66.225	0	0.63597
AAMDC	ENSG00000087884	16	14.57378055492	0	0.7583666666666667	0	0	0	0	0	2.2751
AAMP	ENSG00000127837	10	59.23211811096	0	0.14330666666666667	0	0.42992	0	0	0	0
AANAT	ENSG00000129673	11	22.575952114	0.6666666666666666	0.23090999999999998	0	0	2	0.69273	0	0
AAR2	ENSG00000131043	32	27.85183173759	0	0	0	0	0	0	0	0
AARD	ENSG00000205002	12	14.8344819609	0	0	0	0	0	0	0	0
AARS1	ENSG00000090861	72	105.95667886926	10	14.979	7	10.885	23	34.052	0	0
AARS2	ENSG00000124608	74	129.90958342591	0.3333333333333333	0.29252666666666666	0	0	1	0.87758	0	0
AARSD1	ENSG00000266967	42	42.77746550851	0.6666666666666666	1.2460333333333333	0	0	2	3.7381	0	0
AASDH	ENSG00000157426	85	97.57962353255	0	0.22512	0	0	0	0.67536	0	0
AASDHPPT	ENSG00000149313	23	36.76748095645	0	0.25628	0	0	0	0.76884	0	0
AASS	ENSG00000008311	81	102.26160113222	0.6666666666666666	1.1336966666666666	1	0.57789	1	2.8232	0	0
AATF	ENSG00000275700	43	57.30027516265	0	0.030896666666666666	0	0	0	0.09269	0	0
AATK	ENSG00000181409	68	163.9040565748	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	47	86.26734595654	0.3333333333333333	0.6911666666666667	1	2.0735	0	0	0	0
ABCA1	ENSG00000165029	126	259.06232460654	3.3333333333333335	5.718733333333333	7	13.174	3	3.9822	0	0
ABCA10	ENSG00000154263	152	179.08772360554	0	0	0	0	0	0	0	0
ABCA12	ENSG00000144452	151	285.02099430811	2.3333333333333335	4.4959999999999996	7	13.488	0	0	0	0
ABCA13	ENSG00000179869	434	441.21556359417	0	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	72	396.86304165698	4	10.522666666666668	12	31.568	0	0	0	0
ABCA3	ENSG00000167972	82	210.96448502863	0	0.6464666666666666	0	0	0	0	0	1.9394
ABCA4	ENSG00000198691	183	261.3205601089	1.6666666666666667	1.5491666666666666	0	0	5	4.6475	0	0
ABCA5	ENSG00000154265	149	174.84252153783	0	0.20365333333333333	0	0.61096	0	0	0	0
ABCA6	ENSG00000154262	155	180.93063438017	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	239	286.53020829173	1.3333333333333333	0.7671666666666667	0	0	4	2.3015	0	0
ABCA8	ENSG00000141338	170	195.68582199545	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	167	190.43961843257	0	0	0	0	0	0	0	0
ABCB1	ENSG00000085563	69	130.21443130318	3.3333333333333335	6.17456	0	0.65268	10	17.871	0	0
ABCB10	ENSG00000135776	47	58.18914271431	1.6666666666666667	5.144333333333333	0	0	5	15.433	0	0
ABCB11	ENSG00000073734	94	144.30796243594	0	0.20688666666666666	0	0	0	0.62066	0	0
ABCB4	ENSG00000005471	71	130.37622404017	1.6666666666666667	5.160333333333333	0	0	5	15.481	0	0
ABCB5	ENSG00000004846	151	181.7578329785	0.6666666666666666	0.5958333333333333	0	0	2	1.7875	0	0
ABCB6	ENSG00000115657	82	119.78313194752	4.666666666666667	6.184333333333334	0	0	14	18.553	0	0
ABCB7	NA	NA	NA	4.333333333333333	44.399166666666666	0	1.9099	1	5.9476	12	125.34
ABCB8	ENSG00000197150	53	93.44368360091	6.333333333333333	14.946110000000001	0	0	19	44.542	0	0.29633
ABCB9	ENSG00000150967	39	74.00617192937	4.666666666666667	6.2655666666666665	6	6.4527	8	12.344	0	0
ABCC1	ENSG00000103222	77	171.67935879627	1.3333333333333333	2.6025566666666666	0	0.36007	4	7.4476	0	0
ABCC10	ENSG00000124574	111	156.40331087605	0	0.03993666666666667	0	0	0	0.11981	0	0
ABCC11	ENSG00000121270	125	140.29175236541	0	0.03462	0	0	0	0.10386	0	0
ABCC12	ENSG00000140798	137	146.45666634109	0.3333333333333333	0.10073	0	0	1	0.30219	0	0
ABCC2	ENSG00000023839	151	167.35905683489	0	0	0	0	0	0	0	0
ABCC3	ENSG00000108846	113	165.17105930185	0.6666666666666666	0.9396333333333334	0	0	2	2.8189	0	0
ABCC4	ENSG00000125257	99	166.79548597359	0.3333333333333333	1.7452933333333331	0	0	1	4.9887	0	0.24718
ABCC5	ENSG00000114770	62	170.03603217686	0	0.28020666666666666	0	0.29456	0	0.54606	0	0
