GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A2PYH4	HFM1	enables	GO:0003678	DNA helicase activity	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002772475|SGD:S000003220	9606	GO_Central		F
UniProtKB	A2PYH4	HFM1	enables	GO:0004386	helicase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0347	9606	UniProt		F
UniProtKB	A8MPP1	DDX11L8	enables	GO:0003678	DNA helicase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006554|InterPro:IPR010614|InterPro:IPR013020	9606	InterPro		F
UniProtKB	A8MPP1	DDX11L8	enables	GO:0003678	DNA helicase activity	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000192893|MGI:MGI:2139369|PANTHER:PTN000158192|SGD:S000000973|SGD:S000005929|UniProtKB:P18074|UniProtKB:P27296|UniProtKB:P76257|UniProtKB:Q8I2H7|UniProtKB:Q96FC9|UniProtKB:Q9BX63|UniProtKB:Q9NZ71	9606	GO_Central		F
UniProtKB	A8MPP1	DDX11L8	enables	GO:0003724	RNA helicase activity	ECO:0000501	IEA	GO_REF:0000003	EC:3.6.4.13	9606	UniProt		F
UniProtKB	A8MPP1	DDX11L8	enables	GO:0004386	helicase activity	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR006555|UniProtKB-KW:KW-0347	9606	UniProt		F
UniProtKB	O00148	DDX39A	enables	GO:0003724	RNA helicase activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0263231|FB:FBgn0283442|MGI:MGI:1353582|PANTHER:PTN002774595|PomBase:SPAC17G6.14c|RGD:619906|RGD:68381|SGD:S000002242|SGD:S000003046|SGD:S000005056|SGD:S000005572|SGD:S000005730|TAIR:locus:2084178|TAIR:locus:2147987|TAIR:locus:2167903|UniProtKB:O00571|UniProtKB:P17844|UniProtKB:P38919|UniProtKB:Q13838|UniProtKB:Q8IL13|UniProtKB:Q9NR30|UniProtKB:Q9UJV9|WB:WBGene00001598|WB:WBGene00001599|Xenbase:XB-GENE-999731	9606	GO_Central		F
UniProtKB	O00148	DDX39A	enables	GO:0003724	RNA helicase activity	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR014014|EC:3.6.4.13	9606	UniProt		F
UniProtKB	O00148	DDX39A	enables	GO:0004386	helicase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0347	9606	UniProt		F
UniProtKB	O00571	DDX3X	enables	GO:0003678	DNA helicase activity	ECO:0000314	IDA	PMID:21589879		9606	UniProt		F
UniProtKB	O00571	DDX3X	enables	GO:0003724	RNA helicase activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0263231|FB:FBgn0283442|MGI:MGI:1353582|PANTHER:PTN002774595|PomBase:SPAC17G6.14c|RGD:619906|RGD:68381|SGD:S000002242|SGD:S000003046|SGD:S000005056|SGD:S000005572|SGD:S000005730|TAIR:locus:2084178|TAIR:locus:2147987|TAIR:locus:2167903|UniProtKB:O00571|UniProtKB:P17844|UniProtKB:P38919|UniProtKB:Q13838|UniProtKB:Q8IL13|UniProtKB:Q9NR30|UniProtKB:Q9UJV9|WB:WBGene00001598|WB:WBGene00001599|Xenbase:XB-GENE-999731	9606	GO_Central		F
UniProtKB	O00571	DDX3X	enables	GO:0003724	RNA helicase activity	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR014014|EC:3.6.4.13	9606	UniProt		F
UniProtKB	O00571	DDX3X	enables	GO:0003724	RNA helicase activity	ECO:0000314	IDA	PMID:21589879		9606	UniProt		F
UniProtKB	O00571	DDX3X	enables	GO:0003724	RNA helicase activity	ECO:0000314	IDA	PMID:31575075		9606	UniProt		F
UniProtKB	O00571	DDX3X	enables	GO:0003724	RNA helicase activity	ECO:0000304	TAS	PMID:9381176		9606	PINC		F
UniProtKB	O00571	DDX3X	enables	GO:0004386	helicase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0347	9606	UniProt		F
UniProtKB	O14981	BTAF1	enables	GO:0004386	helicase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0347	9606	UniProt		F
UniProtKB	O15523	DDX3Y	enables	GO:0003724	RNA helicase activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0263231|FB:FBgn0283442|MGI:MGI:1353582|PANTHER:PTN002774595|PomBase:SPAC17G6.14c|RGD:619906|RGD:68381|SGD:S000002242|SGD:S000003046|SGD:S000005056|SGD:S000005572|SGD:S000005730|TAIR:locus:2084178|TAIR:locus:2147987|TAIR:locus:2167903|UniProtKB:O00571|UniProtKB:P17844|UniProtKB:P38919|UniProtKB:Q13838|UniProtKB:Q8IL13|UniProtKB:Q9NR30|UniProtKB:Q9UJV9|WB:WBGene00001598|WB:WBGene00001599|Xenbase:XB-GENE-999731	9606	GO_Central		F
UniProtKB	O15523	DDX3Y	enables	GO:0003724	RNA helicase activity	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR014014|EC:3.6.4.13	9606	UniProt		F
UniProtKB	O15523	DDX3Y	enables	GO:0004386	helicase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0347	9606	UniProt		F
UniProtKB	O43143	DHX15	enables	GO:0003724	RNA helicase activity	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR044756|EC:3.6.4.13	9606	UniProt		F
UniProtKB	O43143	DHX15	enables	GO:0003724	RNA helicase activity	ECO:0000314	IDA	PMID:32179686		9606	UniProt		F
UniProtKB	O43143	DHX15	enables	GO:0003724	RNA helicase activity	ECO:0000304	TAS	PMID:7935475		9606	PINC		F
UniProtKB	O43143	DHX15	enables	GO:0004386	helicase activity	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0002774|FB:FBgn0032883|MGI:MGI:1919412|MGI:MGI:1920081|MGI:MGI:2448561|PANTHER:PTN008360424|PomBase:SPBC1711.17|SGD:S000000815|SGD:S000001561|SGD:S000003088|SGD:S000004735|UniProtKB:O43143|UniProtKB:P43329|UniProtKB:Q08211|UniProtKB:Q28141|UniProtKB:Q581T1|UniProtKB:Q7L2E3|UniProtKB:Q9H2U1|UniProtKB:Q9H6S0	9606	GO_Central		F
UniProtKB	O43143	DHX15	enables	GO:0004386	helicase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0347	9606	UniProt		F
UniProtKB	O60231	DHX16	enables	GO:0003724	RNA helicase activity	ECO:0000501	IEA	GO_REF:0000003	EC:3.6.4.13	9606	UniProt		F
UniProtKB	O60231	DHX16	enables	GO:0003724	RNA helicase activity	ECO:0000304	TAS	PMID:9547260		9606	PINC		F
UniProtKB	O60231	DHX16	enables	GO:0003724	RNA helicase activity	ECO:0000304	TAS	Reactome:R-HSA-9770131		9606	Reactome		F
