GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A0K2S4Q6	CD300H	NOT|enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:26221034		9606	UniProt		F
UniProtKB	A0JNW5	BLTP3B	enables	GO:0042803	protein homodimerization activity	ECO:0000353	IPI	PMID:20163565	UniProtKB:A0JNW5	9606	UniProt		F
UniProtKB	A2RUB6	CCDC66	enables	GO:0042803	protein homodimerization activity	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q6NS45	9606	UniProt		F
UniProtKB	A2RUC4	TYW5	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:20972222		9606	UniProt		F
UniProtKB	A4D126	CRPPA	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:26687144		9606	UniProt		F
UniProtKB	A6NHR9	SMCHD1	enables	GO:0042803	protein homodimerization activity	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q6P5D8	9606	UniProt		F
UniProtKB	A6NK06	ACOD1	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:31548418		9606	UniProt		F
UniProtKB	B2RUZ4	SMIM1	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:23563606		9606	UniProt	occurs_in(CL:0000232)	F
UniProtKB	D3W0D1	KLRF2	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:20194751		9606	UniProt		F
UniProtKB	O00144	FZD9	enables	GO:0042803	protein homodimerization activity	ECO:0000353	IPI	PMID:14688793	UniProtKB:O00144	9606	BHF-UCL		F
UniProtKB	O00144	FZD9	enables	GO:0046982	protein heterodimerization activity	ECO:0000353	IPI	PMID:14688793	UniProtKB:Q9ULV1	9606	BHF-UCL		F
UniProtKB	O00154	ACOT7	enables	GO:0042803	protein homodimerization activity	ECO:0000353	IPI	PMID:10578051	UniProtKB:O00154	9606	BHF-UCL		F
UniProtKB	O00180	KCNK1	enables	GO:0046982	protein heterodimerization activity	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:O08581	9606	UniProt		F
UniProtKB	O00180	KCNK1	enables	GO:0046982	protein heterodimerization activity	ECO:0000314	IDA	PMID:23169818		9606	UniProt		F
UniProtKB	O00206	TLR4	enables	GO:0046982	protein heterodimerization activity	ECO:0000353	IPI	PMID:20037584	UniProtKB:Q9Y2C9	9606	ARUK-UCL		F
UniProtKB	O00264	PGRMC1	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:26988023		9606	UniProt		F
UniProtKB	O00267	SUPT5H	enables	GO:0046982	protein heterodimerization activity	ECO:0000353	IPI	PMID:9450929	UniProtKB:P63272	9606	UniProt		F
UniProtKB	O00291	HIP1	enables	GO:0042803	protein homodimerization activity	ECO:0000353	IPI	PMID:15533940	UniProtKB:O00291	9606	ParkinsonsUK-UCL		F
UniProtKB	O00291	HIP1	enables	GO:0042803	protein homodimerization activity	ECO:0000353	IPI	PMID:18790740	UniProtKB:O00291	9606	ParkinsonsUK-UCL		F
UniProtKB	O00291	HIP1	enables	GO:0046982	protein heterodimerization activity	ECO:0000353	IPI	PMID:15533940	UniProtKB:Q9JKY5	9606	ParkinsonsUK-UCL		F
UniProtKB	O00400	SLC33A1	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:24828632		9606	UniProt		F
UniProtKB	O00408	PDE2A	enables	GO:0042803	protein homodimerization activity	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2446107|PANTHER:PTN000886790|UniProtKB:O00408	9606	GO_Central		F
UniProtKB	O00408	PDE2A	enables	GO:0042803	protein homodimerization activity	ECO:0000353	IPI	PMID:19828435	UniProtKB:O00408	9606	UniProt		F
UniProtKB	O00429	DNM1L	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:22265414		9606	UniProt		F
UniProtKB	O00429	DNM1L	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:23530241		9606	UniProt		F
UniProtKB	O00459	PIK3R2	enables	GO:0046982	protein heterodimerization activity	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:O08908	9606	ParkinsonsUK-UCL		F
UniProtKB	O00506	STK25	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:15037601		9606	UniProt		F
UniProtKB	O00560	SDCBP	enables	GO:0046982	protein heterodimerization activity	ECO:0000353	IPI	PMID:11152476	UniProtKB:Q9H190	9606	UniProt		F
UniProtKB	O00628	PEX7	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:11931631		9606	UniProt		F
UniProtKB	O00764	PDXK	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:16600635		9606	UniProt		F
UniProtKB	O00764	PDXK	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:17766369		9606	UniProt		F
UniProtKB	O14503	BHLHE40	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:15560782		9606	BHF-UCL		F
UniProtKB	O14503	BHLHE40	enables	GO:0046982	protein heterodimerization activity	ECO:0000353	IPI	PMID:12397359	UniProtKB:Q9WTL8	9606	BHF-UCL		F
UniProtKB	O14503	BHLHE40	enables	GO:0046982	protein heterodimerization activity	ECO:0000353	IPI	PMID:15193144	UniProtKB:Q9C0J9	9606	BHF-UCL		F
UniProtKB	O14503	BHLHE40	enables	GO:0046982	protein heterodimerization activity	ECO:0000353	IPI	PMID:15193144	UniProtKB:Q9WTL8	9606	BHF-UCL		F
UniProtKB	O14503	BHLHE40	enables	GO:0046982	protein heterodimerization activity	ECO:0000353	IPI	PMID:15560782	UniProtKB:Q99PV5	9606	BHF-UCL		F
UniProtKB	O14522	PTPRT	enables	GO:0042803	protein homodimerization activity	ECO:0000353	IPI	PMID:24846175	UniProtKB:O14522	9606	ARUK-UCL		F
UniProtKB	O14558	HSPB6	enables	GO:0042803	protein homodimerization activity	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P97541	9606	UniProt		F
UniProtKB	O14649	KCNK3	enables	GO:0046982	protein heterodimerization activity	ECO:0000314	IDA	PMID:23169818		9606	UniProt		F
UniProtKB	O14672	ADAM10	enables	GO:0042803	protein homodimerization activity	ECO:0000270	IEP	PMID:25349418		9606	DisProt	has_input(UniProtKB:O14672)	F
UniProtKB	O14672	ADAM10	enables	GO:0042803	protein homodimerization activity	ECO:0000353	IPI	PMID:25349418	UniProtKB:O14672	9606	DisProt		F
UniProtKB	O14732	IMPA2	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:17068342		9606	MGI		F
UniProtKB	O14744	PRMT5	enables	GO:0046982	protein heterodimerization activity	ECO:0000314	IDA	PMID:18495660		9606	MGI		F
UniProtKB	O14746	TERT	enables	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:11432839		9606	BHF-UCL		F
