MouseMGIID	MarkerSymbol	MarkerName	MouseSymbol	MouseName	MP_ID	MP_Term	AlleleAccID	HomologyClusterID	HumanNCBIorMGIID	HumanSymbol	HumanName
MGI:1914189	Aagab		Aagab		MP:0011100		Aagab<em1(IMPC)Bay>	50228608	HGNC:25662	AAGAB	
MGI:107809	Aamp		Aamp		MP:0011100		Aamp<em1(IMPC)J>	50231228	HGNC:18	AAMP	
MGI:2384560	Aars1		Aars1		MP:0011100		Aars1<em1(IMPC)Bay>	50217113	HGNC:20	AARS1	
MGI:2681839	Aars2		Aars2		MP:0011100		Aars2<tm1(KOMP)Wtsi>	50223607	HGNC:21022	AARS2	
MGI:1914868	Aasdhppt		Aasdhppt		MP:0011100		Aasdhppt<tm1.1(KOMP)Vlcg>	50229913	HGNC:14235	AASDHPPT	
MGI:1929608	Aatf		Aatf		MP:0011100		Aatf<em1(IMPC)J>	50218116	HGNC:19235	AATF	
MGI:2443582	Abat		Abat		MP:0011100		Abat<em2(IMPC)Bay>	50218601	HGNC:23	ABAT	
MGI:99607	Abca1		Abca1		MP:0011100		Abca1<tm1b(EUCOMM)Hmgu>	50217116	HGNC:29	ABCA1	
MGI:2676312	Abca12		Abca12		MP:0011100		Abca12<em1(IMPC)J>|Abca12<tm1Lex>	50218311	HGNC:14637	ABCA12	
MGI:1351617	Abca3		Abca3		MP:0011100,MP:0011101		Abca3<tm1Dgen>|Abca3<tm1b(EUCOMM)Hmgu>	50217117	HGNC:33	ABCA3	
MGI:109533	Abcb7		Abcb7		MP:0002080		Abcb7<+>|Abcb7<tm1.1Mdf>|Abcb7<tm1.1Mdf>	50221284	HGNC:48	ABCB7	
MGI:1195458	Abce1		Abce1		MP:0011100		Abce1<tm1.1(KOMP)Vlcg>|Abce1<tm1b(EUCOMM)Hmgu>	50228752	HGNC:69	ABCE1	
MGI:99476	Abhd16a		Abhd16a		MP:0011101		Abhd16a<tm1a(EUCOMM)Wtsi>	50217673	HGNC:13921	ABHD16A	
MGI:87866	Acadl		Acadl		MP:0011101		Acadl<+>|Acadl<tm1Uab>|Acadl<tm1Uab>	50224157	HGNC:88	ACADL	
MGI:895149	Acadvl		Acadvl		MP:0001260		Acadvl<tm1Vje>	50220868	HGNC:92	ACADVL	
MGI:99602	Acan		Acan		MP:0011100		Acan<tm1b(EUCOMM)Hmgu>	50217262	HGNC:319	ACAN	
MGI:87871	Acat2		Acat2		MP:0011100		Acat2<tm1b(KOMP)Wtsi>	50220263	HGNC:94	ACAT2	
